City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,75.29,clear sky,-23.1203,-134.9692,People ThankYou
81,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
100,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Villa Enata
111,Freeport,US,76.37,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
121,Goderich,CA,75.52,overcast clouds,43.7501,-81.7165,Harmony Inn
139,Campoverde,PE,76.69,scattered clouds,-8.4753,-74.8058,Hospedaje Coral's
142,Katsuura,JP,76.23,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
144,Katsina,NG,77.94,overcast clouds,12.9894,7.6006,Katsina Motel
146,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
150,Trinidad,BO,75.25,overcast clouds,-14.8333,-64.9,Hotel Piesta
167,Cerete,CO,76.98,scattered clouds,8.8848,-75.7905,Hotel Porton De Don Pedro
186,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
193,Kankon,IN,76.8,moderate rain,15.0167,74.0167,Palolem Beach Resort
194,Belle Fourche,US,76.5,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
261,Tabou,CI,75.65,overcast clouds,4.423,-7.3528,hotêl doufoulougou
290,Santa Cruz Cabralia,BR,75.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
291,Sabha,LY,77.27,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
310,Quepos,CR,76.75,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
313,Malanville,BJ,77.34,broken clouds,11.8685,3.3899,Hotel Sejour du Sahel
320,Buctzotz,MX,77.7,few clouds,21.2,-88.7833,Buctoztz
341,Khorinsk,RU,77.2,few clouds,52.1657,109.7726,Uda
347,Gainesville,US,77.68,overcast clouds,29.6516,-82.3248,Stayable Select
387,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
388,San Lorenzo,PY,76.59,clear sky,-25.3333,-57.5333,Canarias Hotel
391,Kefamenanu,ID,76.78,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
398,Leshukonskoye,RU,75.9,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
401,Ambilobe,MG,75.24,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
402,Norman Wells,CA,77.04,broken clouds,65.282,-126.8329,Heritage Hotel
412,Lodwar,KE,76.8,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
424,Zatoka,UA,75.69,clear sky,46.0725,30.4654,Sonyachna
426,Maruko,JP,76.24,light rain,36.3167,138.2667,ミノワ・リバーサイドオートキャンプ
431,Saint Anthony,US,76.62,smoke,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
432,Russell,US,76.91,clear sky,32.3502,-85.1999,Macs
433,Mezobereny,HU,75.45,clear sky,46.8167,21.0333,Piknik Park Szabadidő Központ
441,Fayetteville,US,77.88,mist,35.0527,-78.8784,American Eagle Inn
451,Calamar,CO,77.4,overcast clouds,10.2511,-74.9146,Hostal Katyalex
455,Dakar,SN,77.88,light rain,14.6937,-17.4441,Novotel Dakar
477,Barcelona,ES,76.53,light rain,41.3888,2.159,Axel Hotel Barcelona
487,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
498,Ajdabiya,LY,75.65,clear sky,30.7554,20.2263,Almadina Hotel
507,Tukrah,LY,77.34,clear sky,32.5341,20.5791,Lagrota restaurant
516,Tautira,PF,77.85,light rain,-17.7333,-149.15,Pension Oaoa
577,Huangchuan,CN,77.83,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
578,Boueni,YT,76.98,few clouds,-12.9025,45.0761,The feet in water
594,Ciudad Bolivar,VE,77.22,scattered clouds,8.1222,-63.5497,Hotel Edi
597,Mililani Town,US,77.9,broken clouds,21.45,-158.0011,First Class Paws and Claws Grooming
608,Ouro Preto Do Oeste,BR,76.3,scattered clouds,-10.7481,-62.2158,Graúna Resort Hotel
609,Aquiraz,BR,77.09,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
624,Kutum,SD,75.7,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
634,Manzanillo,CU,75.58,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
650,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
658,Pipirig,RO,75.69,scattered clouds,47.25,26.0667,Casa Afetelor
659,Maraba,BR,75.38,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
679,Mogadishu,SO,77.52,overcast clouds,2.0371,45.3438,Hotel Juba
686,Nayoro,JP,77.43,scattered clouds,44.3506,142.4578,名寄 大雪荘
690,Sinnamary,GF,75.85,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
695,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
